"","Sector","Company","sentiment_bins","mean_sentiments"
"613","Consumer Goods","Hormel Foods","Moderate_buy",0.6122625
"614","Technology","Kyocera",NA,NA
"615","Consumer Goods","BAE Systems","Moderate_sell",0.375
"616","Healthcare","Otsuka Holdings Co",NA,NA
"617","Industrial Goods","United Continental","Hold",0.57225
"618","Industrial Goods","SM Investments",NA,NA
"619","Consumer Goods","Xilinx","Moderate_sell",0.3316125
"620","Financial","Malayan Banking Bhd",NA,NA
"621","Utilities","Entergy","Hold",0.492625
"622","Materials","Repsol","Moderate_sell",0.41545
"623","Services","Pinduoduo","Hold",0.495375
"624","Consumer Goods","Fiat Chrysler Automobiles","Strong_sell",0.2452
"625","Healthcare","Otsuka Holdings Co",NA,NA
"626","Technology","Splunk","Hold",0.4767625
"627","Technology","Adyen",NA,NA
"628","Consumer Goods","PT Unilever Indonesia Tbk",NA,NA
"629","Financial","PT Bank Mandiri (Persero) Tbk","Hold",0.5
"630","Industrial Goods","Sandvik AB","Moderate_buy",0.625
"631","Technology","Telus","Moderate_sell",0.446425
"632","Financial","Northern",NA,NA
"633","Industrial Goods","Ametek","Hold",0.49205
"634","Industrial Goods","Rockwell Automation","Moderate_buy",0.6311375
"635","Services","Chipotle","Hold",0.5037875
"636","Consumer Goods","Microchip","Hold",0.504825
"637","Services","Koninklijke DSM","Hold",0.4861
"638","Consumer Goods","McCormick & Company","Hold",0.515125
"639","Technology","Cerner","Hold",0.51805
"640","Technology","CoStar Group",NA,NA
"641","Financial","Hannover Rueck SE","Hold",0.5
"642","Technology","Verisign",NA,NA
"643","Technology","CGI Group",NA,NA
"644","Consumer Goods","Corning","Hold",0.551025
"645","Utilities","China Gas Holdings",NA,NA
"646","Financial","Hartford Financial","Moderate_buy",0.64355
"647","Financial","CITIC Securities Co",NA,NA
"648","Consumer Goods","Palo Alto Networks","Moderate_buy",0.6620125
"649","Consumer Goods","Kellogg","Strong_sell",0.279975
"650",NA,"Fox","Hold",0.538875
"651","Consumer Goods","Asahi Group Holdings",NA,NA
"652","Industrial Goods","Komatsu","Hold",0.5
"653","Materials","Anglo American Platinum",NA,NA
"654","Technology","Veeva Systems","Hold",0.5920125
"655","Consumer Goods","Essity AB",NA,NA
"656","Services","Fresenius Medical Care","Moderate_sell",0.42055
"657","Financial","Weyerhaeuser","Moderate_sell",0.44125
"658","Services","MSCI","Hold",0.4613625
"659","Services","Kroger Company","Moderate_sell",0.3254
"660","Utilities","American Water","Moderate_buy",0.6325875
"661","Consumer Goods","Panasonic","Moderate_sell",0.41335
"662","Healthcare","Align Tech","Moderate_sell",0.411725
"663","Financial","Link Real Estate Investment",NA,NA
"664","Materials","Compagnie de Saint-Gobain SA",NA,NA
"665","Technology","Wipro",NA,NA
